School,Gender,Age,Housing_Type,Family_Size,Parental_Status,Mother_Education,Father_Education,Mother_Work,Father_Work,Reason_School_Choice,Legal_Responsibility,Commute_Time,Weekly_Study_Time,Extra_Educational_Support,Parental_Educational_Support,Private_Tutoring,Extracurricular_Activities,Attended_Daycare,Desire_Graduate_Education,Has_Internet,Is_Dating,Good_Family_Relationship,Free_Time_After_School,Time_with_Friends,Health_Status,School_Absence,Grade_1st_Semester,Grade_2nd_Semester,Alcoholic
Gabriel Pereira,Female,19,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,Services,Services,Near Home,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,No,Good,Moderate,Moderate,Very Good,0,10,10,0
Gabriel Pereira,Male,18,Urban,Above 3,Living Together,Higher Education,Higher Education,Teacher,Services,Near Home,Mother,15 to 30 min,Up to 2h,No,No,No,Yes,Yes,Yes,Yes,No,Fair,Low,High,Fair,6,11,12,1
Gabriel Pereira,Male,17,Urban,Above 3,Living Together,Primary School,Primary School,other,other,Reputation,Father,Up to 15 min,2 to 5h,No,No,No,No,No,Yes,Yes,No,Good,Moderate,Moderate,Good,0,12,12,0
Gabriel Pereira,Male,16,Rural,Above 3,Living Together,Higher Education,Lower Secondary School,Teacher,Services,Other,Mother,Up to 15 min,Up to 2h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Good,Moderate,Moderate,Fair,8,10,9,1
Mousinho da Silveira,Female,18,Urban,Up to 3,Separated,Primary School,Primary School,Homemaker,Services,Course Preference,Mother,Up to 15 min,2 to 5h,No,No,No,No,Yes,Yes,No,Yes,Excellent,Low,Moderate,Fair,2,8,10,0
Mousinho da Silveira,Male,15,Rural,Up to 3,Living Together,Higher Education,Primary School,Health,Services,Reputation,Father,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,Moderate,High,Poor,7,7,9,0
Gabriel Pereira,Female,17,Urban,Above 3,Living Together,Higher Education,Higher Education,Teacher,Services,Course Preference,Mother,Up to 15 min,5 to 10h,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,High,High,Good,0,13,12,0
Gabriel Pereira,Female,18,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,Homemaker,Services,Near Home,Mother,Up to 15 min,5 to 10h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Good,Moderate,Moderate,Fair,0,11,12,0
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Higher Education,Higher Education,Teacher,Services,Near Home,Mother,Up to 15 min,5 to 10h,No,Yes,No,Yes,No,Yes,Yes,No,Excellent,Moderate,Low,Very Good,4,15,16,0
Mousinho da Silveira,Male,15,Urban,Up to 3,Separated,Lower Secondary School,Primary School,Services,Services,Course Preference,Mother,Up to 15 min,Up to 2h,No,No,No,Yes,Yes,Yes,Yes,No,Good,Moderate,Moderate,Very Good,11,12,13,0
Gabriel Pereira,Male,15,Urban,Above 3,Separated,High School,Higher Education,Services,other,Course Preference,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,High,High,Very Poor,0,16,16,0
Gabriel Pereira,Male,15,Rural,Above 3,Living Together,Lower Secondary School,Primary School,Health,Services,Reputation,Mother,Up to 15 min,2 to 5h,No,No,No,Yes,Yes,Yes,Yes,Yes,Excellent,High,Low,Very Good,4,10,9,0
Gabriel Pereira,Male,17,Urban,Above 3,Living Together,Lower Secondary School,Primary School,other,other,Near Home,Mother,Up to 15 min,Up to 2h,No,Yes,No,No,Yes,Yes,Yes,No,Excellent,High,Very High,Very Good,22,9,7,0
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Higher Education,High School,Teacher,other,Other,Mother,Up to 15 min,2 to 5h,No,No,No,Yes,Yes,Yes,Yes,Yes,Very Poor,Moderate,Low,Very Poor,4,14,15,0
Gabriel Pereira,Female,17,Urban,Above 3,Separated,Higher Education,Higher Education,other,Teacher,Near Home,Mother,15 to 30 min,2 to 5h,Yes,Yes,No,No,Yes,Yes,No,No,Good,Very Low,High,Very Poor,2,10,13,0
Gabriel Pereira,Male,16,Urban,Up to 3,Living Together,Primary School,Primary School,other,other,Near Home,Mother,15 to 30 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,No,Fair,High,Low,Very Good,2,9,9,0
Mousinho da Silveira,Female,15,Rural,Above 3,Living Together,High School,High School,Services,other,Reputation,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,Yes,Good,Very High,High,Very Poor,4,13,12,0
Gabriel Pereira,Male,18,Urban,Up to 3,Separated,Higher Education,Higher Education,Teacher,Teacher,Reputation,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,High,Moderate,Poor,0,17,17,0
Mousinho da Silveira,Male,17,Rural,Up to 3,Living Together,Primary School,Lower Secondary School,Homemaker,Services,Reputation,Mother,Up to 15 min,Up to 2h,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,Very High,Very High,Fair,4,10,11,1
Gabriel Pereira,Female,18,Urban,Above 3,Living Together,Primary School,Primary School,other,other,Near Home,Mother,15 to 30 min,2 to 5h,Yes,No,No,Yes,Yes,Yes,Yes,No,Excellent,High,High,Good,0,12,13,0
Gabriel Pereira,Female,18,Urban,Above 3,Living Together,Higher Education,Higher Education,Health,Health,Reputation,Father,Up to 15 min,2 to 5h,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Poor,High,High,Good,2,14,12,0
Gabriel Pereira,Female,17,Urban,Up to 3,Living Together,Higher Education,Lower Secondary School,Teacher,Services,Reputation,Mother,Up to 15 min,More than 10h,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,Low,Moderate,Good,2,14,15,0
Gabriel Pereira,Male,17,Rural,Above 3,Living Together,High School,Higher Education,Homemaker,other,Course Preference,Mother,30 min to 1h,2 to 5h,No,No,No,No,Yes,Yes,No,No,Excellent,High,Very High,Very Good,2,10,9,1
Gabriel Pereira,Female,16,Urban,Up to 3,Living Together,Higher Education,Higher Education,Teacher,Teacher,Reputation,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,No,Good,Very High,Low,Fair,0,11,10,0
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,Services,Services,Course Preference,Father,Up to 15 min,Up to 2h,Yes,Yes,No,No,Yes,Yes,Yes,No,Excellent,High,Very Low,Very Poor,0,9,10,0
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,Higher Education,Higher Education,Services,Teacher,Course Preference,Father,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,Moderate,Moderate,Very Good,0,14,15,0
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,High School,Primary School,other,other,Reputation,Mother,Up to 15 min,Up to 2h,No,No,No,Yes,Yes,Yes,No,No,Excellent,Moderate,Low,Very Good,0,13,13,0
Mousinho da Silveira,Female,16,Rural,Up to 3,Living Together,Primary School,Lower Secondary School,Homemaker,other,Course Preference,Mother,Up to 15 min,2 to 5h,No,No,No,Yes,Yes,No,Yes,No,Good,High,Very High,Fair,0,8,9,0
Mousinho da Silveira,Male,17,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Course Preference,Mother,Up to 15 min,Up to 2h,No,No,No,Yes,Yes,Yes,No,Yes,Very Poor,Low,Very Low,Very Good,0,7,0,0
Gabriel Pereira,Male,15,Urban,Above 3,Separated,Higher Education,Higher Education,other,Services,Reputation,Mother,Up to 15 min,More than 10h,No,Yes,No,Yes,No,Yes,Yes,Yes,Very Poor,Moderate,Moderate,Fair,0,11,12,1
Gabriel Pereira,Female,15,Urban,Above 3,Living Together,Lower Secondary School,Primary School,Services,other,Reputation,Father,30 min to 1h,5 to 10h,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,Low,Low,Good,0,10,12,0
Gabriel Pereira,Male,17,Urban,Above 3,Living Together,High School,High School,Services,Services,Other,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Good,Moderate,High,Good,6,11,13,0
Mousinho da Silveira,Female,17,Rural,Above 3,Living Together,Higher Education,Primary School,other,other,Other,Mother,Up to 15 min,Up to 2h,No,No,No,No,Yes,Yes,Yes,Yes,Good,Low,Moderate,Very Good,1,13,14,0
Mousinho da Silveira,Male,17,Urban,Above 3,Living Together,High School,Lower Secondary School,other,other,Other,Father,15 to 30 min,2 to 5h,No,Yes,Yes,No,Yes,Yes,Yes,No,Good,Very Low,Low,Very Poor,0,13,14,0
Mousinho da Silveira,Female,17,Rural,Above 3,Living Together,Primary School,Primary School,other,other,Other,Father,Up to 15 min,Up to 2h,No,Yes,No,No,No,No,Yes,No,Excellent,High,High,Very Good,0,6,6,0
Gabriel Pereira,Female,17,Urban,Up to 3,Living Together,Primary School,Primary School,Homemaker,Homemaker,Course Preference,Mother,Up to 15 min,5 to 10h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Good,Moderate,Low,Good,10,11,10,0
Mousinho da Silveira,Female,17,Urban,Above 3,Living Together,Higher Education,Lower Secondary School,other,other,Course Preference,Mother,15 to 30 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,No,Good,Moderate,Moderate,Good,0,17,18,0
Mousinho da Silveira,Male,17,Urban,Above 3,Living Together,Primary School,Primary School,Homemaker,Services,Other,Mother,30 min to 1h,2 to 5h,No,No,No,No,Yes,Yes,Yes,Yes,Excellent,Very Low,Moderate,Very Poor,0,10,10,0
Mousinho da Silveira,Female,18,Rural,Above 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Other,Mother,15 to 30 min,Up to 2h,No,No,No,No,Yes,No,Yes,Yes,Excellent,Very High,Very High,Fair,0,8,6,0
Gabriel Pereira,Male,15,Urban,Up to 3,Living Together,Lower Secondary School,Lower Secondary School,Services,Services,Near Home,Mother,15 to 30 min,2 to 5h,No,No,Yes,Yes,Yes,Yes,Yes,No,Excellent,Moderate,Moderate,Good,2,13,12,0
Gabriel Pereira,Female,18,Urban,Up to 3,Living Together,High School,High School,Services,Services,Near Home,Mother,Up to 15 min,More than 10h,No,Yes,No,No,Yes,Yes,Yes,No,Excellent,Moderate,Moderate,Very Poor,4,14,14,0
Gabriel Pereira,Female,18,Urban,Above 3,Living Together,Lower Secondary School,High School,other,Services,Reputation,Father,Up to 15 min,More than 10h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Good,Very High,Very High,Poor,10,16,16,0
Gabriel Pereira,Female,18,Urban,Above 3,Living Together,High School,Lower Secondary School,other,Services,Other,Mother,Up to 15 min,5 to 10h,No,No,No,No,Yes,Yes,Yes,Yes,Excellent,High,Moderate,Very Poor,4,14,16,0
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,High School,Higher Education,Homemaker,other,Course Preference,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,No,Poor,High,Moderate,Fair,14,12,11,0
Gabriel Pereira,Male,16,Urban,Up to 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Reputation,Mother,15 to 30 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,High,High,Very Good,2,10,10,1
Gabriel Pereira,Male,18,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,Services,other,Near Home,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,High,High,Very Good,10,12,11,1
Gabriel Pereira,Male,18,Urban,Above 3,Living Together,Higher Education,Lower Secondary School,Teacher,other,Near Home,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Good,Moderate,Low,Very Good,2,15,16,1
Gabriel Pereira,Female,19,Urban,Up to 3,Separated,Primary School,Primary School,other,other,Course Preference,Other,30 min to 1h,2 to 5h,No,Yes,No,No,No,Yes,Yes,Yes,Excellent,Moderate,High,Good,2,8,8,0
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Lower Secondary School,High School,Services,Teacher,Other,Mother,Up to 15 min,2 to 5h,Yes,No,No,No,Yes,Yes,Yes,No,Poor,Moderate,Very Low,Fair,0,13,13,0
Gabriel Pereira,Female,17,Rural,Above 3,Living Together,Lower Secondary School,Primary School,Homemaker,Services,Reputation,Mother,15 to 30 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,Low,Very High,Very Good,0,11,10,0
Gabriel Pereira,Female,18,Rural,Above 3,Living Together,Lower Secondary School,Primary School,other,other,Reputation,Mother,15 to 30 min,2 to 5h,No,Yes,No,No,Yes,No,Yes,Yes,Good,Moderate,Very High,Fair,12,8,9,0
Gabriel Pereira,Male,18,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,other,Homemaker,Course Preference,Other,Up to 15 min,Up to 2h,No,Yes,No,Yes,No,No,Yes,Yes,Good,High,Moderate,Very Poor,26,7,8,0
Gabriel Pereira,Female,16,Urban,Above 3,Separated,Lower Secondary School,Lower Secondary School,other,other,Near Home,Mother,Up to 15 min,Up to 2h,No,No,No,No,Yes,Yes,No,No,Excellent,Moderate,High,Very Good,12,13,11,0
Gabriel Pereira,Female,17,Urban,Above 3,Living Together,Primary School,Primary School,Homemaker,other,Course Preference,Mother,Up to 15 min,2 to 5h,Yes,No,No,No,No,Yes,No,Yes,Good,Moderate,Low,Good,10,10,9,0
Gabriel Pereira,Female,17,Urban,Above 3,Living Together,Primary School,Primary School,Homemaker,other,Reputation,Mother,Up to 15 min,5 to 10h,No,Yes,No,Yes,Yes,Yes,No,Yes,Good,Moderate,High,Very Good,12,12,12,0
Mousinho da Silveira,Male,18,Urban,Up to 3,Living Together,Primary School,High School,Homemaker,Services,Course Preference,Mother,Up to 15 min,Up to 2h,No,No,No,No,Yes,No,Yes,Yes,Good,Moderate,Moderate,Fair,0,9,10,0
Gabriel Pereira,Male,16,Rural,Up to 3,Living Together,High School,High School,Teacher,other,Near Home,Father,30 min to 1h,Up to 2h,No,Yes,No,Yes,Yes,Yes,Yes,No,Fair,Moderate,High,Fair,16,10,11,1
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,High School,Higher Education,other,other,Near Home,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,Very High,Very Low,Very Good,0,12,12,0
Mousinho da Silveira,Male,17,Rural,Above 3,Living Together,Higher Education,High School,Services,other,Near Home,Mother,15 to 30 min,2 to 5h,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Good,Very High,Very High,Poor,4,10,11,0
Gabriel Pereira,Female,20,Rural,Above 3,Living Together,Lower Secondary School,Primary School,other,other,Course Preference,Other,15 to 30 min,2 to 5h,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Very Poor,Low,Moderate,Poor,8,10,12,0
Gabriel Pereira,Female,17,Urban,Above 3,Living Together,Lower Secondary School,High School,other,other,Course Preference,Father,15 to 30 min,2 to 5h,No,No,No,Yes,Yes,Yes,Yes,Yes,Good,Low,Very Low,Fair,2,11,12,0
Mousinho da Silveira,Female,18,Urban,Above 3,Living Together,High School,High School,other,other,Near Home,Mother,Up to 15 min,2 to 5h,No,No,No,No,Yes,Yes,Yes,Yes,Good,Very Low,Moderate,Very Poor,1,16,16,0
Mousinho da Silveira,Female,17,Urban,Above 3,Living Together,Primary School,Primary School,other,Homemaker,Course Preference,Mother,Up to 15 min,Up to 2h,No,Yes,No,Yes,Yes,Yes,No,No,Good,Moderate,Low,Very Good,9,7,9,0
Gabriel Pereira,Female,15,Urban,Above 3,Living Together,Primary School,Primary School,other,other,Near Home,Father,Up to 15 min,2 to 5h,No,Yes,No,Yes,No,Yes,Yes,No,Good,Moderate,Low,Good,2,13,12,0
Gabriel Pereira,Male,18,Urban,Above 3,Living Together,Lower Secondary School,Primary School,other,other,Near Home,Mother,Up to 15 min,2 to 5h,No,No,No,Yes,Yes,Yes,Yes,No,Excellent,Low,High,Good,2,16,16,0
Mousinho da Silveira,Male,15,Rural,Up to 3,Living Together,Higher Education,Primary School,Health,Services,Reputation,Father,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,Moderate,High,Poor,0,12,13,0
Gabriel Pereira,Male,17,Rural,Above 3,Living Together,Primary School,Lower Secondary School,Homemaker,other,Near Home,Mother,Up to 15 min,2 to 5h,No,No,No,No,Yes,Yes,No,No,Fair,Very Low,Moderate,Fair,6,9,9,1
Gabriel Pereira,Female,17,Urban,Above 3,Living Together,Lower Secondary School,Higher Education,Services,Services,Reputation,Father,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,No,No,Excellent,High,Low,Very Good,0,17,18,0
Gabriel Pereira,Male,17,Urban,Above 3,Living Together,Lower Secondary School,High School,other,other,Course Preference,Father,15 to 30 min,Up to 2h,No,No,No,No,Yes,Yes,Yes,No,Excellent,Low,Low,Poor,2,9,12,0
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Higher Education,Lower Secondary School,Teacher,Services,Near Home,Mother,15 to 30 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,Moderate,Moderate,Very Poor,2,13,14,0
Mousinho da Silveira,Female,17,Rural,Above 3,Living Together,Lower Secondary School,Lower Secondary School,Homemaker,other,Other,Mother,Up to 15 min,Up to 2h,No,Yes,Yes,No,Yes,Yes,Yes,No,Excellent,Very Low,Moderate,Very Good,5,9,9,0
Mousinho da Silveira,Female,18,Rural,Above 3,Living Together,Primary School,Primary School,Homemaker,Homemaker,Course Preference,Mother,15 to 30 min,Up to 2h,No,No,No,No,No,No,Yes,Yes,Fair,Low,Moderate,Poor,4,9,11,0
Mousinho da Silveira,Female,18,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,Services,Homemaker,Reputation,Father,15 to 30 min,2 to 5h,No,No,No,Yes,No,Yes,Yes,No,Good,Moderate,Very High,Very Poor,2,12,13,0
Gabriel Pereira,Male,16,Urban,Up to 3,Separated,High School,Higher Education,Services,other,Near Home,Mother,Up to 15 min,2 to 5h,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Excellent,Moderate,Moderate,Very Good,2,12,12,0
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,High School,Higher Education,other,other,Course Preference,Father,30 min to 1h,Up to 2h,No,Yes,No,Yes,No,Yes,Yes,No,Fair,High,Very High,Poor,4,9,9,1
Mousinho da Silveira,Female,16,Rural,Above 3,Living Together,Lower Secondary School,High School,Homemaker,Services,Other,Mother,15 to 30 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Fair,Moderate,Moderate,Poor,0,8,10,0
Gabriel Pereira,Male,17,Rural,Up to 3,Living Together,Primary School,Primary School,other,Services,Course Preference,Mother,More than 1h,2 to 5h,No,No,No,Yes,Yes,No,No,Yes,Excellent,Moderate,Very High,Very Good,0,8,8,1
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Primary School,Lower Secondary School,other,other,Course Preference,Mother,Up to 15 min,Up to 2h,No,No,No,No,Yes,No,Yes,No,Excellent,Moderate,Very High,Very Good,4,12,11,0
Gabriel Pereira,Female,15,Urban,Above 3,Living Together,Higher Education,Higher Education,Teacher,Services,Course Preference,Mother,Up to 15 min,5 to 10h,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,Low,Low,Very Good,2,13,13,0
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,Higher Education,High School,Teacher,other,Near Home,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,Moderate,Moderate,Very Good,0,11,11,0
Gabriel Pereira,Female,18,Urban,Above 3,Living Together,Higher Education,High School,other,other,Course Preference,Mother,Up to 15 min,5 to 10h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Good,Moderate,High,Very Good,2,14,15,0
Gabriel Pereira,Female,16,Urban,Up to 3,Living Together,High School,Primary School,other,other,Near Home,Father,Up to 15 min,2 to 5h,Yes,Yes,No,No,Yes,Yes,No,No,Fair,Moderate,Moderate,Poor,0,12,13,0
Gabriel Pereira,Female,18,Urban,Above 3,Living Together,Primary School,Higher Education,other,Teacher,Near Home,Mother,Up to 15 min,2 to 5h,Yes,Yes,No,No,No,Yes,No,Yes,Fair,High,High,Very Good,2,10,10,0
Gabriel Pereira,Female,15,Rural,Up to 3,Living Together,Lower Secondary School,Lower Secondary School,Health,Services,Reputation,Mother,15 to 30 min,2 to 5h,Yes,Yes,No,No,Yes,Yes,Yes,No,Good,Very Low,Moderate,Good,0,11,10,0
Gabriel Pereira,Male,18,Urban,Above 3,Living Together,Higher Education,Higher Education,other,other,Course Preference,Mother,Up to 15 min,5 to 10h,No,No,No,Yes,Yes,Yes,Yes,No,Good,Moderate,Moderate,Fair,0,13,14,0
Gabriel Pereira,Male,18,Urban,Above 3,Living Together,Lower Secondary School,Primary School,Services,Services,Reputation,Mother,Up to 15 min,5 to 10h,No,No,No,Yes,Yes,Yes,Yes,No,Good,Low,High,Poor,0,14,15,0
Gabriel Pereira,Female,16,Urban,Up to 3,Living Together,High School,High School,other,other,Reputation,Mother,15 to 30 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,High,Very High,Good,0,14,14,0
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Higher Education,Higher Education,Health,other,Near Home,Mother,Up to 15 min,Up to 2h,No,Yes,No,No,Yes,Yes,Yes,No,Good,High,High,Poor,6,17,17,0
Mousinho da Silveira,Male,17,Urban,Up to 3,Living Together,High School,Primary School,Services,Services,Course Preference,Mother,15 to 30 min,Up to 2h,No,No,No,No,No,Yes,Yes,No,Poor,High,Very High,Poor,6,10,10,1
Gabriel Pereira,Male,18,Urban,Up to 3,Living Together,Lower Secondary School,Lower Secondary School,Services,Services,Reputation,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,No,No,Yes,No,Good,High,High,Fair,11,9,11,0
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,Services,other,Reputation,Father,15 to 30 min,2 to 5h,No,No,No,Yes,No,Yes,Yes,No,Good,High,Low,Fair,6,12,10,0
Mousinho da Silveira,Male,17,Rural,Up to 3,Living Together,Primary School,High School,other,other,Course Preference,Father,15 to 30 min,Up to 2h,No,No,No,Yes,Yes,Yes,No,Yes,Excellent,Very Low,Low,Very Good,2,12,11,0
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,High School,High School,other,Services,Near Home,Father,15 to 30 min,Up to 2h,No,No,No,Yes,Yes,Yes,Yes,No,Excellent,High,Low,Very Good,6,14,14,0
Mousinho da Silveira,Male,18,Rural,Above 3,Living Together,Lower Secondary School,Primary School,other,other,Other,Mother,15 to 30 min,Up to 2h,No,No,No,Yes,No,Yes,Yes,Yes,Good,High,Moderate,Very Good,0,7,7,0
Mousinho da Silveira,Female,16,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,other,Services,Course Preference,Father,Up to 15 min,Up to 2h,No,Yes,Yes,Yes,No,Yes,Yes,No,Good,High,Moderate,Fair,1,9,10,1
Gabriel Pereira,Male,15,Urban,Up to 3,Living Together,High School,High School,other,other,Course Preference,Mother,Up to 15 min,2 to 5h,No,No,No,Yes,No,Yes,Yes,No,Excellent,Moderate,Low,Poor,0,13,12,0
Gabriel Pereira,Female,18,Urban,Above 3,Separated,Higher Education,Higher Education,Homemaker,Teacher,Course Preference,Mother,15 to 30 min,2 to 5h,Yes,No,No,No,Yes,Yes,No,No,Good,Moderate,High,Fair,4,0,11,0
Mousinho da Silveira,Female,18,Rural,Above 3,Living Together,Lower Secondary School,Lower Secondary School,Homemaker,other,Other,Mother,15 to 30 min,5 to 10h,No,No,No,No,Yes,Yes,No,No,Excellent,Moderate,Moderate,Good,0,14,17,0
Gabriel Pereira,Male,17,Urban,Up to 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Near Home,Father,Up to 15 min,2 to 5h,No,No,No,Yes,No,Yes,Yes,Yes,Good,High,Low,Good,0,16,16,1
Gabriel Pereira,Male,17,Urban,Up to 3,Separated,Higher Education,Higher Education,Health,other,Reputation,Mother,Up to 15 min,5 to 10h,No,Yes,No,No,Yes,Yes,Yes,No,Good,High,Low,Good,2,12,15,0
Gabriel Pereira,Male,18,Urban,Above 3,Living Together,Higher Education,Higher Education,Teacher,Services,Near Home,Father,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,Moderate,Moderate,Poor,0,12,12,0
Mousinho da Silveira,Male,16,Rural,Up to 3,Living Together,Primary School,Lower Secondary School,other,Homemaker,Course Preference,Mother,Up to 15 min,Up to 2h,No,No,No,No,Yes,Yes,No,No,Good,High,High,Very Good,4,9,10,1
